"","Target","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"661",16850,"Yes",7700,3700,1906,79,96,7671,30,4400,600,1350,96,92,13.1,46,13936,97
"662",5173,"No",4743,3970,2233,32,63,13436,2582,3526,765,3176,86,90,11.5,11,10244,44
"663",10602,"No",8631,6732,2546,25,61,11669,1605,3660,570,1530,79,87,19.7,13,8020,54
"664",17020,"Yes",12394,5232,2464,85,100,9205,531,7270,500,1544,95,96,6.3,38,25765,93
"665",10786,"No",8586,6383,2503,25,59,13138,4289,4560,400,900,93,93,7.8,10,13789,66
"666",12040,"Yes",1758,1485,419,27,58,2041,174,4100,600,1100,92,96,13.2,17,9060,72
"667",16230,"Yes",4044,2826,688,51,83,2738,138,4500,630,1800,79,86,15,17,11217,63
"668",10330,"No",9643,7751,1968,12,40,8894,2456,5558,500,1250,84,89,16.6,7,9158,63
"669",14500,"Yes",5892,2718,756,46,72,2854,594,3285,700,1125,75,89,11.7,32,11984,100
"670",17840,"Yes",8766,5498,1243,56,75,5071,438,6582,500,882,93,99,5.9,23,26037,80
"671",13600,"Yes",3934,2735,886,40,70,3698,217,5940,630,1820,93,96,15.6,13,10813,66
"672",13226,"Yes",2306,1721,538,23,48,4309,549,6452,750,2450,86,86,13.6,8,10074,62
"673",3687,"No",285,280,208,21,43,1140,473,1920,600,1800,67,77,23.6,3,3864,43
"674",11584,"Yes",4471,2942,910,29,60,3674,493,5986,650,800,83,83,14.1,41,9131,92
"675",5800,"No",848,560,377,14,24,1855,1412,3066,500,1500,62,62,14.8,3,5035,48
"676",8074,"No",7693,5815,2328,30,66,12594,3661,3522,495,2941,84,88,16.9,18,8246,63
"677",6760,"No",7589,4676,1876,29,63,14770,10962,3776,500,2180,84,89,17,7,11020,47
"678",17230,"Yes",12229,8498,2477,45,71,13259,1429,6482,600,2210,90,94,11.4,10,17007,68
"679",7100,"No",1401,1239,605,10,34,3716,675,4380,540,2948,63,88,19.4,0,5389,36
"680",4973,"No",2379,2133,1292,8,25,4283,2973,3192,500,1425,56,65,22,21,4078,38
"681",4652,"No",2850,2044,1046,20,50,9260,1387,2470,500,500,78,99,18.7,23,5917,45
"682",11712,"Yes",2057,1807,828,26,53,4106,982,4037,500,800,80,80,13.8,13,8546,89
"683",8550,"Yes",374,280,185,45,77,995,408,4050,500,1344,75,75,12.6,17,7237,62
"684",5764,"No",7473,5372,3013,27,53,15749,3237,3262,750,3300,86,92,16.5,22,8612,53
"685",4422,"No",3281,2559,1448,19,43,10975,8431,2780,500,2850,73,73,21,4,4696,29
"687",4104,"No",4217,3100,1686,17,46,9375,5457,5376,452,1200,94,100,25.3,3,4329,50
"688",12520,"Yes",974,704,290,5,22,1145,39,3860,1300,700,16,59,7.5,9,11641,57
"689",16320,"Yes",2459,1997,582,36,66,2664,299,5326,646,1171,87,94,11.2,14,13706,65
"690",15350,"Yes",1445,966,326,46,83,1129,24,4080,450,810,89,93,10.3,52,18784,82
"691",11750,"Yes",1712,1557,696,41,68,2936,433,4160,1200,2350,94,96,11.5,10,11743,47
"692",6857,"No",5095,4491,2400,27,53,13894,8374,3975,858,3093,89,93,12.8,9,9275,37
"693",15516,"No",7663,6008,1735,18,51,7353,1674,4928,500,990,87,90,9.9,10,12646,79
"694",12212,"No",15849,5384,2678,74,95,11278,114,3792,500,1000,90,92,9.5,22,13597,95
"696",6172,"No",1558,1254,472,20,57,3754,2477,3994,541,1387,83,87,23.4,12,8488,53
"698",7032,"No",910,910,342,14,53,1434,417,2780,550,1960,75,81,15.2,15,6490,36
"700",6900,"No",2409,1939,759,17,50,3819,1347,2800,475,1200,81,89,22.2,1,5968,46
"701",9096,"No",14901,10932,4631,36,80,23945,2200,4290,535,1545,93,96,11.5,20,11006,72
"702",8786,"No",5244,3782,1930,12,37,11561,7443,2964,570,1980,79,87,15.9,8,8094,38
"704",8840,"Yes",663,452,192,10,35,1481,1160,3060,500,1000,69,75,17.4,19,3733,78
"705",14900,"Yes",1399,1026,308,44,77,1131,17,5160,500,800,82,85,11.6,40,12082,79
"706",9600,"Yes",325,260,86,21,47,699,717,4202,450,750,39,69,10.5,15,7164,68
"707",4286,"No",368,344,212,5,27,863,189,2570,600,2000,39,41,14.9,25,4958,40
"708",11800,"Yes",2075,1727,520,49,81,2501,198,3260,500,800,87,89,14.2,23,9681,95
"709",17865,"Yes",7791,4690,1499,71,92,5500,90,6525,630,952,93,98,5.8,26,23850,83
"710",18920,"Yes",3550,1877,653,53,87,2164,77,5950,600,800,90,98,9.7,39,17089,90
"712",10217,"No",4963,3497,1567,18,45,10262,5065,4182,500,3630,81,87,8.7,11,11183,45
"713",5587,"No",2996,2440,704,2,30,3006,338,4845,500,600,61,63,16,11,5733,31
"714",10260,"No",15712,11719,4277,29,53,18511,604,3176,740,2200,85,89,13.8,20,8944,73
"715",7384,"Yes",1847,1610,453,19,59,1298,67,3494,500,1763,51,67,13.7,8,6757,30
"717",9140,"Yes",647,518,271,17,43,1014,387,3365,500,2245,51,65,10.7,31,8050,73
"718",4450,"Yes",1465,1006,188,10,30,703,20,2522,500,1200,43,43,22.9,3,5861,58
"719",12925,"Yes",800,623,256,41,76,801,5,4195,500,635,78,85,9.9,55,14904,72
"720",13500,"Yes",1416,1015,417,10,44,1324,117,5800,585,1700,67,78,13.2,23,9006,75
"721",13850,"Yes",5661,2392,903,75,88,3499,172,4360,500,1250,95,97,4.3,37,41766,89
"722",8670,"Yes",1092,890,477,27,92,847,497,4180,500,1450,42,58,11.3,33,5738,68
"723",10000,"Yes",440,311,112,25,49,466,7,3052,400,1100,65,75,11.4,20,9430,63
"725",16260,"Yes",1305,1100,334,42,64,1098,151,4005,300,500,91,91,12.1,40,10162,86
"726",13750,"Yes",3315,1096,425,68,93,1584,3,4619,680,1115,81,96,9.6,45,15736,90
"727",15276,"Yes",1209,942,214,31,60,822,46,5318,500,300,79,86,11.2,37,10830,65
"728",8200,"No",6540,5839,2440,31,70,14445,1344,4210,800,2719,84,87,16.9,30,10912,56
"729",18350,"Yes",7654,5259,1254,62,93,4879,1274,5775,768,1512,91,98,3.9,31,45702,90
"730",2700,"No",1373,1373,724,6,21,2754,474,2660,540,1660,60,68,20.3,29,4550,52
"731",8840,"Yes",1190,978,324,12,30,1280,61,3620,500,1200,57,58,16.2,26,6563,63
"732",5590,"Yes",280,143,79,5,27,327,110,2900,650,1952,53,63,15.1,4,4839,90
"733",9160,"Yes",665,462,226,17,44,1739,1550,4340,500,500,68,68,20.6,14,6951,48
"734",18345,"Yes",2895,1249,579,80,96,2195,156,5995,500,700,94,98,10.6,51,21409,91
"735",14900,"Yes",318,240,130,40,85,416,19,5550,600,500,93,98,8.3,42,13935,69
"736",9850,"Yes",1480,1257,452,6,25,2961,572,6050,850,920,10,68,15.4,8,17858,64
"737",9890,"Yes",980,807,350,10,25,872,448,4674,500,1350,52,57,14.4,15,6243,84
"738",19130,"Yes",4772,1973,712,60,86,2714,27,5600,1400,1400,90,94,12.1,39,16262,92
"739",7844,"No",6502,3539,1372,11,51,7484,1904,4108,400,2000,76,79,15.3,16,6773,52
"740",4470,"No",1164,1062,478,12,25,2138,227,2890,600,1210,33,33,16.3,10,4249,60
"741",14200,"Yes",1566,1400,483,28,55,1509,170,3775,450,1100,58,81,16.4,42,8080,67
"742",6390,"No",3224,2519,1057,11,31,5000,706,2380,110,1622,67,78,14.6,9,6554,55
"743",14510,"Yes",1205,984,278,31,50,1071,98,5340,500,1400,84,91,12.5,39,10026,60
"744",6940,"No",9167,7191,2738,24,53,15739,4278,4100,500,1700,80,84,24.7,11,5983,55
"746",5918,"No",2702,1623,604,7,24,2315,146,3755,500,2050,76,79,19.4,4,4599,52
"747",8124,"No",5548,3563,1549,30,71,8909,506,4144,639,2385,83,89,22.7,10,7203,61
"748",5542,"No",3100,2150,825,3,20,3234,941,3788,500,1300,75,79,15.7,20,4222,65
"749",10720,"Yes",662,553,184,20,43,665,37,4050,600,1650,66,70,12.5,20,7925,62
"750",12065,"Yes",996,866,377,29,58,1411,72,3615,430,685,62,78,12.5,41,8596,80
"751",8820,"Yes",917,720,213,21,60,979,743,4050,600,2025,68,83,10.5,34,7170,50
"752",14320,"No",950,713,351,42,72,1276,9,5304,490,1410,77,77,14.9,17,8837,87
"753",11480,"Yes",1432,920,548,56,84,2200,56,4200,530,1400,81,83,12.7,40,11916,85
"754",18460,"Yes",1738,1373,417,21,55,1335,30,5970,700,850,92,96,13.2,41,22704,71
"755",10500,"Yes",903,755,213,15,49,971,305,4545,600,600,66,71,14.1,27,7494,72
"756",16670,"Yes",1861,998,359,45,77,1220,46,4900,750,800,80,83,10.5,51,13198,72
"758",12660,"Yes",1121,926,372,43,70,1270,160,4500,678,2424,80,80,16.9,20,8328,80
"760",11150,"Yes",1631,1431,434,15,36,1803,603,5130,550,1260,78,92,13.3,24,8543,67
"761",14800,"Yes",1658,1327,395,49,80,1595,159,4620,400,790,91,94,13.3,37,10779,68
"763",10535,"Yes",469,435,227,17,39,851,120,4365,550,3700,39,66,12.9,16,7438,52
"764",19629,"Yes",4186,1245,526,81,96,1988,29,5790,500,1200,94,99,9,64,22014,99
"765",11428,"Yes",167,130,46,16,50,199,676,5084,450,475,67,76,8.3,43,10291,67
"766",7820,"Yes",1239,1017,383,10,34,1207,157,3400,550,1550,69,81,13.9,8,7264,91
"769",9100,"Yes",152,128,75,17,41,282,22,3700,500,1400,48,48,8.5,26,8960,50
"770",15948,"Yes",1979,1739,575,42,68,1980,144,4404,400,800,82,95,12.8,29,10414,78
"772",15884,"Yes",2768,2314,682,49,86,2802,86,5370,530,730,92,94,15.2,34,10774,82
"773",6797,"No",2197,1515,543,4,26,3089,2029,3900,500,1200,60,60,21,14,4469,40
"774",11520,"Yes",1959,1805,695,24,47,2849,1107,4960,600,1250,73,75,13.3,31,9189,83
"775",6900,"Yes",2097,1915,695,34,61,2793,166,4200,617,781,67,75,14.4,20,8323,49
"776",19840,"Yes",10705,2453,1317,95,99,5217,83,6510,630,2115,96,96,5.8,49,40386,99
"777",4990,"Yes",2989,1855,691,28,63,2988,1726,3560,500,1250,75,75,18.1,28,4509,99
